--Game for all players in current generation--

[2013.06.23 12:51:59 Generation #1 - Move #43195 - Robot Genetic 2]
[2013.06.23 12:52:29 Generation #1 - Move #43684 - Robot Genetic 1]
[2013.06.23 12:52:59 Generation #1 - Move #44169 - Robot Genetic 2]
[2013.06.23 12:53:29 Generation #1 - Move #44666 - Robot Genetic 2]
[2013.06.23 12:53:59 Generation #1 - Move #45148 - Robot Genetic 1]
[2013.06.23 12:54:29 Generation #1 - Move #45621 - Robot Genetic 2]
[2013.06.23 12:54:59 Generation #1 - Move #46097 - Robot Genetic 2]
[2013.06.23 12:55:29 Generation #1 - Move #46571 - Robot Genetic 2]
[2013.06.23 12:55:59 Generation #1 - Move #47052 - Robot Genetic 2]
[2013.06.23 12:56:29 Generation #1 - Move #47557 - Robot Genetic 2]
[2013.06.23 12:56:59 Generation #1 - Move #48032 - Robot Genetic 2]
[2013.06.23 12:57:29 Generation #1 - Move #48508 - Robot Genetic 1]
[2013.06.23 12:57:59 Generation #1 - Move #48977 - Robot Genetic 2]
[2013.06.23 12:58:29 Generation #1 - Move #49463 - Robot Genetic 2]
[2013.06.23 12:58:59 Generation #1 - Move #49950 - Robot Genetic 2]
[2013.06.23 12:59:29 Generation #1 - Move #50443 - Robot Genetic 1]
[2013.06.23 12:59:59 Generation #1 - Move #50929 - Robot Genetic 1]
[2013.06.23 13:00:29 Generation #1 - Move #51426 - Robot Genetic 1]
[2013.06.23 13:00:59 Generation #1 - Move #51903 - Robot Genetic 1]
[2013.06.23 13:01:29 Generation #1 - Move #52375 - Robot Genetic 2]
[2013.06.23 13:01:59 Generation #1 - Move #52838 - Robot Genetic 1]
[2013.06.23 13:02:29 Generation #1 - Move #53280 - Robot Genetic 1]
[2013.06.23 13:02:59 Generation #1 - Move #53741 - Robot Genetic 1]
[2013.06.23 13:03:29 Generation #1 - Move #54219 - Robot Genetic 2]
[2013.06.23 13:03:59 Generation #1 - Move #54705 - Robot Genetic 1]
[2013.06.23 13:04:29 Generation #1 - Move #55201 - Robot Genetic 2]
[2013.06.23 13:04:59 Generation #1 - Move #55689 - Robot Genetic 2]
[2013.06.23 13:05:29 Generation #1 - Move #56181 - Robot Genetic 1]
[2013.06.23 13:05:59 Generation #1 - Move #56669 - Robot Genetic 1]
[2013.06.23 13:06:29 Generation #1 - Move #57150 - Robot Genetic 1]
[2013.06.23 13:06:59 Generation #1 - Move #57643 - Robot Genetic 1]
[2013.06.23 13:07:29 Generation #1 - Move #58135 - Robot Genetic 1]
[2013.06.23 13:07:59 Generation #1 - Move #58630 - Robot Genetic 2]
[2013.06.23 13:08:29 Generation #1 - Move #59127 - Robot Genetic 1]
[2013.06.23 13:08:59 Generation #1 - Move #59609 - Robot Genetic 1]
[2013.06.23 13:09:29 Generation #1 - Move #60092 - Robot Genetic 1]
[2013.06.23 13:09:59 Generation #1 - Move #60578 - Robot Genetic 1]
[2013.06.23 13:10:29 Generation #1 - Move #61055 - Robot Genetic 2]
[2013.06.23 13:10:59 Generation #1 - Move #61543 - Robot Genetic 2]
[2013.06.23 13:11:29 Generation #1 - Move #62014 - Robot Genetic 2]
[2013.06.23 13:11:59 Generation #1 - Move #62499 - Robot Genetic 2]
[2013.06.23 13:12:29 Generation #1 - Move #62987 - Robot Genetic 2]
[2013.06.23 13:12:59 Generation #1 - Move #63477 - Robot Genetic 1]
[2013.06.23 13:13:29 Generation #1 - Move #63962 - Robot Genetic 2]
[2013.06.23 13:13:59 Generation #1 - Move #64453 - Robot Genetic 2]
[2013.06.23 13:14:29 Generation #1 - Move #64954 - Robot Genetic 1]
[2013.06.23 13:14:59 Generation #1 - Move #65422 - Robot Genetic 1]
[2013.06.23 13:15:29 Generation #1 - Move #65903 - Robot Genetic 1]
[2013.06.23 13:15:59 Generation #1 - Move #66363 - Robot Genetic 2]
[2013.06.23 13:16:29 Generation #1 - Move #66845 - Robot Genetic 1]
[2013.06.23 13:16:59 Generation #1 - Move #67302 - Robot Genetic 1]
[2013.06.23 13:17:29 Generation #1 - Move #67772 - Robot Genetic 2]
[2013.06.23 13:17:59 Generation #1 - Move #68248 - Robot Genetic 2]
[2013.06.23 13:18:29 Generation #1 - Move #68743 - Robot Genetic 2]
[2013.06.23 13:18:59 Generation #1 - Move #69220 - Robot Genetic 2]
[2013.06.23 13:19:29 Generation #1 - Move #69708 - Robot Genetic 1]
[2013.06.23 13:19:59 Generation #1 - Move #70197 - Robot Genetic 2]
[2013.06.23 13:20:29 Generation #1 - Move #70675 - Robot Genetic 2]
[2013.06.23 13:20:59 Generation #1 - Move #71164 - Robot Genetic 2]
[2013.06.23 13:21:29 Generation #1 - Move #71644 - Robot Genetic 1]
[2013.06.23 13:21:59 Generation #1 - Move #72129 - Robot Genetic 1]
[2013.06.23 13:22:29 Generation #1 - Move #72615 - Robot Genetic 1]
[2013.06.23 13:22:59 Generation #1 - Move #73084 - Robot Genetic 2]
[2013.06.23 13:23:29 Generation #1 - Move #73552 - Robot Genetic 1]
[2013.06.23 13:23:59 Generation #1 - Move #74037 - Robot Genetic 1]
[2013.06.23 13:24:29 Generation #1 - Move #74516 - Robot Genetic 2]
[2013.06.23 13:24:59 Generation #1 - Move #75004 - Robot Genetic 1]
[2013.06.23 13:25:29 Generation #1 - Move #75484 - Robot Genetic 1]
[2013.06.23 13:25:59 Generation #1 - Move #75972 - Robot Genetic 2]
[2013.06.23 13:26:29 Generation #1 - Move #76465 - Robot Genetic 1]
[2013.06.23 13:26:59 Generation #1 - Move #76947 - Robot Genetic 2]
[2013.06.23 13:27:29 Generation #1 - Move #77446 - Robot Genetic 1]
[2013.06.23 13:27:59 Generation #1 - Move #77926 - Robot Genetic 1]
[2013.06.23 13:28:29 Generation #1 - Move #78402 - Robot Genetic 1]
[2013.06.23 13:28:59 Generation #1 - Move #78875 - Robot Genetic 2]
[2013.06.23 13:29:29 Generation #1 - Move #79346 - Robot Genetic 2]
[2013.06.23 13:29:59 Generation #1 - Move #79836 - Robot Genetic 2]
[2013.06.23 13:30:29 Generation #1 - Move #80323 - Robot Genetic 2]
[2013.06.23 13:30:59 Generation #1 - Move #80810 - Robot Genetic 2]
[2013.06.23 13:31:29 Generation #1 - Move #81287 - Robot Genetic 2]
[2013.06.23 13:31:59 Generation #1 - Move #81779 - Robot Genetic 2]
[2013.06.23 13:32:29 Generation #1 - Move #82269 - Robot Genetic 1]
[2013.06.23 13:32:59 Generation #1 - Move #82753 - Robot Genetic 1]
[2013.06.23 13:33:29 Generation #1 - Move #83231 - Robot Genetic 2]
[2013.06.23 13:33:59 Generation #1 - Move #83700 - Robot Genetic 2]
[2013.06.23 13:34:29 Generation #1 - Move #84178 - Robot Genetic 2]
[2013.06.23 13:34:59 Generation #1 - Move #84645 - Robot Genetic 1]
[2013.06.23 13:35:29 Generation #1 - Move #85136 - Robot Genetic 2]
[2013.06.23 13:35:59 Generation #1 - Move #85636 - Robot Genetic 2]
[2013.06.23 13:36:29 Generation #1 - Move #86148 - Robot Genetic 1]
[2013.06.23 13:36:59 Generation #1 - Move #86649 - Robot Genetic 2]
[2013.06.23 13:37:29 Generation #1 - Move #87147 - Robot Genetic 1]
[2013.06.23 13:37:59 Generation #1 - Move #87640 - Robot Genetic 1]
[2013.06.23 13:38:29 Generation #1 - Move #88125 - Robot Genetic 2]
[2013.06.23 13:38:59 Generation #1 - Move #88611 - Robot Genetic 2]
[2013.06.23 13:39:29 Generation #1 - Move #89088 - Robot Genetic 1]
[2013.06.23 13:39:59 Generation #1 - Move #89577 - Robot Genetic 1]
[2013.06.23 13:40:29 Generation #1 - Move #90070 - Robot Genetic 2]
[2013.06.23 13:40:59 Generation #1 - Move #90540 - Robot Genetic 2]
[2013.06.23 13:41:29 Generation #1 - Move #91042 - Robot Genetic 1]
[2013.06.23 13:41:59 Generation #1 - Move #91542 - Robot Genetic 2]
[2013.06.23 13:42:29 Generation #1 - Move #92030 - Robot Genetic 1]
[2013.06.23 13:42:59 Generation #1 - Move #92488 - Robot Genetic 2]
[2013.06.23 13:43:29 Generation #1 - Move #92979 - Robot Genetic 2]
[2013.06.23 13:43:59 Generation #1 - Move #93468 - Robot Genetic 1]
[2013.06.23 13:44:29 Generation #1 - Move #93944 - Robot Genetic 2]
[2013.06.23 13:44:59 Generation #1 - Move #94440 - Robot Genetic 2]
[2013.06.23 13:45:29 Generation #1 - Move #94925 - Robot Genetic 2]
[2013.06.23 13:45:59 Generation #1 - Move #95393 - Robot Genetic 1]
[2013.06.23 13:46:29 Generation #1 - Move #95872 - Robot Genetic 2]
[2013.06.23 13:46:59 Generation #1 - Move #96352 - Robot Genetic 2]
[2013.06.23 13:47:29 Generation #1 - Move #96824 - Robot Genetic 1]
[2013.06.23 13:47:59 Generation #1 - Move #97309 - Robot Genetic 1]
[2013.06.23 13:48:29 Generation #1 - Move #97797 - Robot Genetic 1]
[2013.06.23 13:48:59 Generation #1 - Move #98265 - Robot Genetic 2]
[2013.06.23 13:49:29 Generation #1 - Move #98755 - Robot Genetic 2]
[2013.06.23 13:49:59 Generation #1 - Move #99239 - Robot Genetic 2]
[2013.06.23 13:50:29 Generation #1 - Move #99732 - Robot Genetic 1]
[2013.06.23 13:50:59 Generation #1 - Move #100225 - Robot Genetic 1]
[2013.06.23 13:51:29 Generation #1 - Move #100703 - Robot Genetic 1]
[2013.06.23 13:51:59 Generation #1 - Move #101194 - Robot Genetic 1]
[2013.06.23 13:52:29 Generation #1 - Move #101695 - Robot Genetic 1]
[2013.06.23 13:52:59 Generation #1 - Move #102187 - Robot Genetic 1]
[2013.06.23 13:53:29 Generation #1 - Move #102662 - Robot Genetic 1]
[2013.06.23 13:53:59 Generation #1 - Move #103137 - Robot Genetic 1]
[2013.06.23 13:54:29 Generation #1 - Move #103630 - Robot Genetic 2]
[2013.06.23 13:54:59 Generation #1 - Move #104106 - Robot Genetic 2]
[2013.06.23 13:55:29 Generation #1 - Move #104587 - Robot Genetic 2]
[2013.06.23 13:55:59 Generation #1 - Move #105067 - Robot Genetic 1]
[2013.06.23 13:56:29 Generation #1 - Move #105567 - Robot Genetic 2]
[2013.06.23 13:56:59 Generation #1 - Move #106046 - Robot Genetic 2]
[2013.06.23 13:57:29 Generation #1 - Move #106527 - Robot Genetic 2]
[2013.06.23 13:57:59 Generation #1 - Move #106976 - Robot Genetic 2]
[2013.06.23 13:58:29 Generation #1 - Move #107459 - Robot Genetic 1]
[2013.06.23 13:58:59 Generation #1 - Move #107951 - Robot Genetic 1]
[2013.06.23 13:59:29 Generation #1 - Move #108445 - Robot Genetic 2]
[2013.06.23 13:59:59 Generation #1 - Move #108927 - Robot Genetic 2]
[2013.06.23 14:00:29 Generation #1 - Move #109415 - Robot Genetic 1]
[2013.06.23 14:00:59 Generation #1 - Move #109888 - Robot Genetic 1]
[2013.06.23 14:01:29 Generation #1 - Move #110350 - Robot Genetic 1]
[2013.06.23 14:01:59 Generation #1 - Move #110830 - Robot Genetic 1]
[2013.06.23 14:02:29 Generation #1 - Move #111295 - Robot Genetic 2]
[2013.06.23 14:02:59 Generation #1 - Move #111770 - Robot Genetic 2]
[2013.06.23 14:03:29 Generation #1 - Move #112267 - Robot Genetic 1]
[2013.06.23 14:03:59 Generation #1 - Move #112753 - Robot Genetic 2]
[2013.06.23 14:04:29 Generation #1 - Move #113244 - Robot Genetic 2]
[2013.06.23 14:04:59 Generation #1 - Move #113726 - Robot Genetic 1]
[2013.06.23 14:05:29 Generation #1 - Move #114219 - Robot Genetic 1]
[2013.06.23 14:05:59 Generation #1 - Move #114702 - Robot Genetic 1]
[2013.06.23 14:06:29 Generation #1 - Move #115194 - Robot Genetic 2]
[2013.06.23 14:06:59 Generation #1 - Move #115679 - Robot Genetic 2]
[2013.06.23 14:07:29 Generation #1 - Move #116175 - Robot Genetic 2]
[2013.06.23 14:07:59 Generation #1 - Move #116664 - Robot Genetic 1]
[2013.06.23 14:08:29 Generation #1 - Move #117151 - Robot Genetic 1]
[2013.06.23 14:08:59 Generation #1 - Move #117628 - Robot Genetic 2]
[2013.06.23 14:09:29 Generation #1 - Move #118113 - Robot Genetic 1]
[2013.06.23 14:09:59 Generation #1 - Move #118604 - Robot Genetic 1]
[2013.06.23 14:10:29 Generation #1 - Move #119096 - Robot Genetic 1]
[2013.06.23 14:10:59 Generation #1 - Move #119566 - Robot Genetic 2]
[2013.06.23 14:11:29 Generation #1 - Move #120045 - Robot Genetic 1]
[2013.06.23 14:11:59 Generation #1 - Move #120498 - Robot Genetic 1]
[2013.06.23 14:12:29 Generation #1 - Move #120954 - Robot Genetic 1]
[2013.06.23 14:12:59 Generation #1 - Move #121415 - Robot Genetic 2]
[2013.06.23 14:13:29 Generation #1 - Move #121893 - Robot Genetic 2]
[2013.06.23 14:13:59 Generation #1 - Move #122355 - Robot Genetic 1]
[2013.06.23 14:14:29 Generation #1 - Move #122841 - Robot Genetic 1]
[2013.06.23 14:14:59 Generation #1 - Move #123323 - Robot Genetic 2]
[2013.06.23 14:15:29 Generation #1 - Move #123790 - Robot Genetic 2]
[2013.06.23 14:15:59 Generation #1 - Move #124255 - Robot Genetic 2]
[2013.06.23 14:16:29 Generation #1 - Move #124749 - Robot Genetic 1]
[2013.06.23 14:16:59 Generation #1 - Move #125222 - Robot Genetic 2]
[2013.06.23 14:17:29 Generation #1 - Move #125697 - Robot Genetic 2]
[2013.06.23 14:17:59 Generation #1 - Move #126174 - Robot Genetic 1]
[2013.06.23 14:18:29 Generation #1 - Move #126646 - Robot Genetic 2]
[2013.06.23 14:18:59 Generation #1 - Move #127136 - Robot Genetic 1]
[2013.06.23 14:19:29 Generation #1 - Move #127621 - Robot Genetic 1]
[2013.06.23 14:19:59 Generation #1 - Move #128086 - Robot Genetic 2]
[2013.06.23 14:20:29 Generation #1 - Move #128584 - Robot Genetic 2]
[2013.06.23 14:20:59 Generation #1 - Move #129077 - Robot Genetic 1]
[2013.06.23 14:21:29 Generation #1 - Move #129560 - Robot Genetic 2]
[2013.06.23 14:21:59 Generation #1 - Move #130051 - Robot Genetic 2]
[2013.06.23 14:22:29 Generation #1 - Move #130547 - Robot Genetic 2]
[2013.06.23 14:22:59 Generation #1 - Move #131023 - Robot Genetic 2]
[2013.06.23 14:23:29 Generation #1 - Move #131505 - Robot Genetic 2]
[2013.06.23 14:23:59 Generation #1 - Move #132003 - Robot Genetic 1]
[2013.06.23 14:24:29 Generation #1 - Move #132497 - Robot Genetic 2]
[2013.06.23 14:24:59 Generation #1 - Move #132982 - Robot Genetic 2]
[2013.06.23 14:25:29 Generation #1 - Move #133457 - Robot Genetic 2]
[2013.06.23 14:25:59 Generation #1 - Move #133925 - Robot Genetic 1]
[2013.06.23 14:26:29 Generation #1 - Move #134421 - Robot Genetic 1]
[2013.06.23 14:26:59 Generation #1 - Move #134893 - Robot Genetic 1]
[2013.06.23 14:27:29 Generation #1 - Move #135383 - Robot Genetic 2]
[2013.06.23 14:27:59 Generation #1 - Move #135856 - Robot Genetic 2]
[2013.06.23 14:28:29 Generation #1 - Move #136322 - Robot Genetic 1]
[2013.06.23 14:28:59 Generation #1 - Move #136808 - Robot Genetic 1]
[2013.06.23 14:29:29 Generation #1 - Move #137298 - Robot Genetic 1]
[2013.06.23 14:29:59 Generation #1 - Move #137764 - Robot Genetic 2]
[2013.06.23 14:30:29 Generation #1 - Move #138233 - Robot Genetic 2]
[2013.06.23 14:30:59 Generation #1 - Move #138719 - Robot Genetic 1]
[2013.06.23 14:31:29 Generation #1 - Move #139211 - Robot Genetic 1]
[2013.06.23 14:31:59 Generation #1 - Move #139677 - Robot Genetic 2]
[2013.06.23 14:32:29 Generation #1 - Move #140154 - Robot Genetic 1]
[2013.06.23 14:32:59 Generation #1 - Move #140655 - Robot Genetic 1]
[2013.06.23 14:33:29 Generation #1 - Move #141136 - Robot Genetic 1]
[2013.06.23 14:33:59 Generation #1 - Move #141612 - Robot Genetic 2]
[2013.06.23 14:34:29 Generation #1 - Move #142111 - Robot Genetic 1]
[2013.06.23 14:34:59 Generation #1 - Move #142590 - Robot Genetic 2]
[2013.06.23 14:35:29 Generation #1 - Move #143069 - Robot Genetic 2]
[2013.06.23 14:35:59 Generation #1 - Move #143564 - Robot Genetic 2]
[2013.06.23 14:36:29 Generation #1 - Move #144039 - Robot Genetic 1]
